name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstractClass,numWordName,isOrEr,isController,numImports,numOutboundInv,numIfs,isClassRes
RTConstrainedDraggable,public,8,0,0,47,5,2,8,1,1,false,false,3,false,false,2,23,2,true
RTConstrainedDraggableTest,private,0,5,5,120,0,0,5,0,0,false,false,4,false,false,7,56,0,true
RTConstrainedDraggableView,private,4,0,0,25,3,1,4,0,1,false,false,4,false,false,4,11,0,true
RTConstraint,public,34,4,4,120,21,11,38,0,2,false,false,2,false,false,5,31,0,true
RTConstraintExample,public,1,8,8,172,0,0,9,0,0,false,false,3,false,false,12,59,0,true
RTConstraintTest,private,1,3,3,47,0,2,4,0,0,false,false,3,false,false,4,26,0,true
RTContinuousAttachPoint,private,4,0,0,19,2,1,4,1,1,false,false,4,false,false,3,1,0,true
RTContinuousDecorator,public,9,7,7,123,16,4,16,1,2,false,false,3,true,false,12,64,6,true
RTContinuousDecoratorTest,private,0,5,5,77,0,0,5,0,0,false,false,4,false,false,6,38,0,true
RTContinuousPopup,public,6,3,3,67,7,3,9,1,1,false,false,3,false,false,7,26,2,true
RTCubeHelix,public,10,1,1,60,8,4,11,3,4,false,false,3,false,false,7,17,0,true
RTCubeHelixTest,private,1,3,3,38,0,0,4,0,0,false,false,4,false,false,3,14,0,true
RTCursorFollower,public,5,10,10,78,6,8,15,3,3,false,false,3,true,false,6,20,2,true
RTCursorFollowerTest,private,1,1,1,23,0,1,2,0,0,false,false,4,false,false,5,9,0,true
RTDSM,public,3,5,5,66,2,1,8,1,1,false,false,1,false,false,6,24,2,true
RTDSMExample,public,4,7,7,482,0,0,11,0,0,false,false,2,false,false,14,52,0,true
RTDSMTest,private,1,8,8,117,0,0,9,0,0,false,false,2,false,false,9,112,0,true
RTData,public,32,9,11,318,24,6,43,4,0,false,false,2,false,false,11,104,6,true
RTDataEvolver,public,4,0,0,13,3,2,4,0,1,false,false,3,true,false,2,1,0,true
RTDataFramePlugin,private,4,0,0,17,0,0,4,0,0,false,false,4,false,false,4,6,0,true
